name,price,image,category,type
Хингал,250,,НАЦИОНАЛЬНАЯ КУХНЯ,hot-food
Чьепалг,250,,НАЦИОНАЛЬНАЯ КУХНЯ,hot-food
Далнаш,400,,НАЦИОНАЛЬНАЯ КУХНЯ,hot-food
Галушки,800,product_image/hot_кукурузные галушки.jpg,НАЦИОНАЛЬНАЯ КУХНЯ,hot-food
Голубцы,500,product_image/hot_голубцы.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Перцы фаршированные,500,product_image/hot_перцы.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Котлета с пюре,500,product_image/hot_котлета из курицы.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Зраза куриная с сыром,200,product_image/hot_зраза с сыром.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Зраза куриная с грибами,250,product_image/hot_,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Плов мясной,2000,product_image/hot_,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Плов сладкий,2500,product_image/hot_,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Cтейк лосося с овощами,1200,product_image/hot_,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Хинкали 10шт.,1000,product_image/hot_хинкали.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Манты 10шт.,700,product_image/hot_манты.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Манты с рублёным мясом 10шт.,900,product_image/hot_,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Пельмени 300гр.,500,product_image/hot_пельмени.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Вареники 300гр.,500,product_image/hot_вареники с вишней.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Сырники,500,product_image/hot_сырники.jpg,ГОРЯЧИЕ ВТОРЫЕ БЛЮДА,hot-food
Куриный суп с лапшой,500,,ПЕРВЫЕ БЛЮДА,hot-food
Борщ с мясом,500,,ПЕРВЫЕ БЛЮДА,hot-food
Суп с фрикадельками,500,,ПЕРВЫЕ БЛЮДА,hot-food
Нохри чоьрп,600,,ПЕРВЫЕ БЛЮДА,hot-food
Лагман,500,,ПЕРВЫЕ БЛЮДА,hot-food
Гуляш,500,,ПЕРВЫЕ БЛЮДА,hot-food
Мясной бульон,300,,ПЕРВЫЕ БЛЮДА,hot-food
Куриный бульон,1200,,ПЕРВЫЕ БЛЮДА,hot-food
Блинчики с мясом 10 шт.,1000,,ЗАКУСКИ,hot-food
Блинчики с творогом 10 шт.,700,,ЗАКУСКИ,hot-food
Блинчики,500,,ЗАКУСКИ,hot-food
Рулет из баклажанов 10 шт,1000,,ЗАКУСКИ,hot-food
Фаршированные шампиньоны,2000,,ЗАКУСКИ,hot-food
Пхали из свеклы 10 шт.,1000,,ЗАКУСКИ,hot-food
Пхали из шпината 10 шт.,1500,,ЗАКУСКИ,hot-food
Пхали из перца 10шт.,1500,,ЗАКУСКИ,hot-food
Холодец,750,,ЗАКУСКИ,hot-food
Рубленый салат 1 кг.,1300,,ЛЮБОЙ САЛАТ НА ЗАКАЗ,hot-food
Слоёный салат 1 кг.,1500,,ЛЮБОЙ САЛАТ НА ЗАКАЗ,hot-food
Любой вид запеченого мяса 1 кг.,1700,,ГОРЯЧЕЕ НА КОМПАНИЮ,hot-food
Отварная баранья голова и ноги,2000,,ГОРЯЧЕЕ НА КОМПАНИЮ,hot-food
Запеченая курица с овощами 2 кг.,2500,,ГОРЯЧЕЕ НА КОМПАНИЮ,hot-food
Жаренная курица с луком 2кг.,2000,,ГОРЯЧЕЕ НА КОМПАНИЮ,hot-food
